regalCode;description;retail exc;trade exc;retail;trade;subcategory;category
GDO MOTORS & EXTRUSIONS;;;;;;;
GA94-2;Centurion GDO SDO4 T10 Sectional Kit;2816;2112.00;3238.4;2428.8;cent_gdo;autt
GA94-3;Centurion GDO SDO4 T10 Tip-Up Kit;2816;2112.00;3238.4;2428.8;cent_gdo;autt
GA94-8;Centurion GDO SDO4 T10 Drive Unit;2228;1671.00;2562.2;1921.65;cent_gdo;autt
GA94-9;Centurion GDO SDO4 T12 Drive Unit;2552;1914.00;2934.8;2201.1;cent_gdo;autt
GA94-10;Centurion GDO SDO4 DP PCB;906.97;634.88;1043.0155;730.112;cent_gdo;autt
GA94-11;Centurion GDO SDO4 Smart DP PCB;153.33;790.00;176.3295;908.5;cent_gdo;autt
GA94-12;Centurion GDO SDO4 T10 & T12 Track Carav;845.33;634.00;972.1295;729.1;cent_gdo;autt
GA99;SDO4 Single Piece Track Sectional Belt;588;441.00;676.2;507.15;cent_belt;autt
GA99-1;SDO4 Single Piece Track TipUp Belt Drive;605.33;454.00;696.1295;522.1;cent_belt;autt
GA99-2;SDO4 SMART T10 GDO Sectional Kit;2920;2190.00;3358;2518.5;cent_sm;autt
GA99-3;SDO4 SMART T10 GDO Tip-Up Kit;2920;2190.00;3358;2518.5;cent_sm;autt
GA99-4;SDO4 SMART T12 GDO Sectional Kit Inc WP;3236;2427.00;3721.4;2791.05;cent_sm;autt
GA99-5;SDO4 SMART T12 GDO Tip Up Kit Inc WP;3236;2427.00;3721.4;2791.05;cent_sm;autt
GA99-8;SDO4 SMART T10 GDO Drive Head 24V V2;2332;1749.00;2681.8;2011.35;cent_sm;autt
GA99-9;SDO4 SMART T12 GDO Drive Head 24V V2;2648;1986.00;3045.2;2283.9;cent_sm;autt
GA136-1;SUPALIFT - RDO2 GDO Roll-Up Motor Kit;2433.33;1825.00;2798.3295;2098.75;rdo;autt
GA137;SUPALIFT - RDO-1-2 DC BP PCB For Rollup;133;723.10;152.95;831.565;rdo;autt
GA137-2;RDO Domestic Rollup Control Box Assembly;1408.57;986.00;1619.8555;1133.9;rdo;autt
GA137-3;RDO Domestic Rollup Drum Wheel 280mm;93.33;70.00;107.3295;80.5;rdo;autt
GA100-3;DC Blue PICO 3.2M KIT incl 2 x Tx4 & Bat;2708;2274.21;3114.2;2615.3415;dc;autt
GA100-5;DC Blue PICO 2.2M KIT incl 2xTx4 & Batt;2638;2215.40;3033.7;2547.71;dc;autt
GA100-6;DC Blue PICO 3.7M KIT incl 2xTx4 & Batt;2874;2414.13;3305.1;2776.2495;dc;autt
GA157;DC Blue Advanced Roll-Up GDO Kit Inc 2Tx;2118;1778.87;2435.7;2045.7005;dc;autt
GA157-1;DC Blue Advanced Roll-Up GDO Kit & CW;2257;1895.50;2595.55;2179.825;dc;autt
GA100-10;DC Blue Advanced 24V DC Tip-Up Kit;2888;2425.50;3321.2;2789.325;dc;autt
GA100-11;DC Blue Advanced 24V DC Sectional Kit;2957;2484.00;3400.55;2856.6;dc;autt
GA100-12;DC Blue Advanced 24V DC Caravan Kit;2122;2622.35;2440.3;3015.7025;dc;autt
GA102;DC Blue Advanced HighSpeed Sectional GDO;3174;2665.39;3650.1;3065.1985;dc;autt
GA107-1;DC Blue Advanced Head incl 24V Battery;2423;2035.21;2786.45;2340.4915;dc;autt
GA107-17;DC Blue Advanced Control Card Kit;1124;779.10;1292.6;895.965;dc;autt
RGA100-4;DC Blue Advanced 3.2M Drawbar Only;876;735.09;1007.4;845.3535;dc;autt
RGA100-5;DC Blue Advanced 2.2M Drawbar Only;813;682.36;934.95;784.714;dc;autt
BA38-2;SP Batt 24V 3.5Ah SLA for DC Blue Digita;629;446.00;723.35;512.9;dc;autt
GA158;NICE Soon 24VDC Sectional GDO 20SQM;6440;5409.60;7406;6221.04;dc;autt
GA159;NICE Sumo 24VDC Sectional GDO 35SQM;9627;8086.1;11071.05;9299.015;dc;autt
GA151;DC Blue Roll-Up GDO Counterweight;293;246.10;336.95;283.015;dc;autt
GA152;DC Blue Roll-Up GDO Adaptor Plate;177;147.93;203.55;170.1195;dc;autt
GA107-3;DC Blue Control Cards (CGDO);879;737.72;1010.85;848.378;dc;autt
GA107-37;Nice DC Blue Advanced Roll-Up PCB;581;406.60;668.15;467.59;dc;autt
GA88-7;GEMINI - GDO Sectional 24VDC;2816;2339.00;3238.4;2689.85;gemini_gdo;autt
GA87;GEMINI - GDO Roll-Up 12VDC;2778.83;2315.75;3195.6545;2663.1125;gemini_gdo;autt
GA88-11;GEMINI - GDO DC PCB 24 Incl RX Module;516.17;397.05;593.5955;456.6075;gemini_gdo;autt
GA87-9;GEMINI - Garage Door Motor Only;1881.39;1567.83;2163.5985;1803.0045;gemini_gdo;autt
GA87-10;GEMINI GDO Extrusion Sectional;135.75;865.69;156.1125;995.5435;gemini_gdo;autt
GA87-11;GEMINI GDO Extrusion Sectional Caravan;1140.18;950.15;1311.207;1092.6725;gemini_gdo;autt
GA87-12;GEMINI GDO Extrusion Secional Long;1816.74;1397.49;2089.251;1607.1135;gemini_gdo;autt
GA87-13;GEMINI GDO Extrusion Tipup;1188;761.00;1366.2;875.15;gemini_gdo;autt
GA87-14;GEMINI GDO Extrusion Rollup;1897.44;747.92;2182.056;860.108;gemini_gdo;autt
GA87-15;GEMINI GDO Extrusion Rollup Caravan;1153;736.70;1325.95;847.205;gemini_gdo;autt
GA96;DigiDoor ONE Sectional GDO BatteryBackup;2874;2874.00;3305.1;3305.1;digi;autt
GA96-1;DigiDoor SIX Sectional Garage Door Motor;2619;2619.00;3011.85;3011.85;digi;autt
GA96-2;DigiDoor SIX 24V Caravan Garage Door Mot;2709;2709.00;3115.35;3115.35;digi;autt
GA91-3;DigiDoor - II Carriage Assembly;69;69.00;79.35;79.35;digi;autt
GA95-2;DigiDoor - II PCB;1340;1340.00;1541;1541;digi;autt
GA92;DigiDoor Wireless Radio Console;187;187.00;215.05;215.05;digi;autt
BA38-1;BATT - 24V 2.4A-H SLA for DigiDoor 1;432;432.00;496.8;496.8;digi;autt
