description;name;qty;rate;cost;dist;price;inner;category;margin
;;;;R33 040.00;R33 040.00;R41 822.78;;;0.79
MC4 connectors  Twin pack;;2;90.00;R180.00;R180.00;R227.85;other;PV;
Flat Roof custom made stand;;0;8000.00;R0.00;R0.00;R0.00;roof;PV;
Labour for PANEL Install +connections;;6;80.00;R480.00;R480.00;R607.59;other;PV;
;;;;;;;;;
Cabling Material PV and battery only;;;;R4 910.00;R4 910.00;R6 215.19;;;
PV Solar panel wire 4mm sq  40Meter;;45;22.00;R990.00;R990.00;R1 253.16;wire;PVCABLE;
PV Solar panel wire 6mm sq  40Meter;;0;24.00;;;;wire;PVCABLE;
Trailing cable 6mmsq 4 core  20M min;;0;97.00;R0.00;R0.00;R0.00;wiretr;PVCABLE;
Trailing cable 10mmsq 4 core 20M min ;;1;120.00;R120.00;R120.00;R151.90;wiretr;PVCABLE;
Panel flex  10mmsq red (100m);;1;1150.00;R1 150.00;R1 150.00;R1 455.70;flex;PVCABLE;
Panel flex  10mmsq white (100m);;0;1150.00;R0.00;R0.00;R0.00;flex;PVCABLE;
Panel flex  10mmsq blue   (100m);;0;1150.00;R0.00;R0.00;R0.00;flex;PVCABLE;
Panel flex  10mmsq yellow green  (100m);;1;1150.00;R1 150.00;R1 150.00;R1 455.70;flex;PVCABLE;
Panel flex  10mmsq black  ;;1;1150.00;R1 150.00;R1 150.00;R1 455.70;flex;PVCABLE;
Earth cable 10mm sq bare PV;;0;25.00;R0.00;R0.00;R0.00;earth;PVCABLE;
Battery  cable 16mm sq (4Meter);;10;35.00;R350.00;R350.00;R443.04;batt;PVCABLE;
6mm sq Twin +earth ;;;53.76;R0.00;R0.00;R0.00;earth;PVCABLE;
25mm sq welding cable;;0;48.00;R0.00;R0.00;R0.00;weld;PVCABLE;
35mm sq welding cable;;0;60.00;R0.00;R0.00;R0.00;weld;PVCABLE;
50mm sq welding cable;;0;95.00;R0.00;R0.00;R0.00;weld;PVCABLE;
10mmX4 CU PVC SWA 1KV Armoured;;0;108.00;R0.00;R0.00;R0.00;pvc;PVCABLE;
16mmX4 CU PVC SWA 1KV Armoured;;0;125.00;R0.00;R0.00;R0.00;pvc;PVCABLE;
AC distribution (AC Protection, Change over,  and Consumables;;;;;R4 609.00;R5 834.18;;PVCABLE;
VS212TJ 24 WAY SURFACE D-B OPAQUE DOOR;;0;850.00;R0.00;R0.00;R0.00;din;AC;
WHITE DIN DB6-WAY FLUSH WITH DOOR AND TRAY;;2;300.00;R600.00;R600.00;R759.49;din;AC;
WHITE DIN DB10-WAY FLUSH WITH DOOR AND TRAY;;0;300.00;R0.00;R0.00;R0.00;din;AC;
WHITE DIN DB12-WAY FLUSH WITH DOOR AND TRAY;;0;487.00;R0.00;R0.00;R0.00;din;AC;
WHITE DIN DB24-WAY FLUSH WITH DOOR AND TRAY;;0;570.00;R0.00;R0.00;R0.00;din;AC;
Consumables  (cable tires, lugs ,ins tape etc);;1;500.00;R500.00;R500.00;R632.91;cons;AC;
MA225Z 25A 2P 6kA MCB  (AC protection );;2;289.00;R578.00;R578.00;R731.65;acprot;AC;
SFT225 25A 2P Change over switch;;0;377.00;R0.00;R0.00;R0.00;chover;AC;
SFT263 63A 2 pole change over ;;0;540.00;R0.00;R0.00;R0.00;chover;AC;
SFT463 63A 4 pole change over ;;0;1432.00;R0.00;R0.00;R0.00;chover;AC;
SFT240 40A 2 pole change over ;;0;377.00;R0.00;R0.00;R0.00;chover;AC;
SFT440 40A 4 pole change over ;;0;727.00;R0.00;R0.00;R0.00;chover;AC;
MA263Z 63A 2P 6kA MCB ;;0;454.00;R0.00;R0.00;R0.00;mcb;AC;
MA463Z 63A 4P 6kA MCB;;0;1024.00;R0.00;R0.00;R0.00;mcb;AC;
MA440Z 40A 4P 6kA MCB;;0;908.00;R0.00;R0.00;R0.00;mcb;AC;
MA240Z 40A 2P 6kA MCB;;2;287.00;R574.00;R574.00;R726.58;mcb;AC;
SPN140D class 2 surge protect 1Ph;;1;1357.00;R1 357.00;R1 357.00;R1 717.72;surgprot;AC;
SPN440D class 2 surge protect 3ph+N;;0;4505.00;R0.00;R0.00;R0.00;surgprot;AC;
AVR switch single phase ;;1;1000.00;R1 000.00;R1 000.00;R1 265.82;avr;AC;
Cable Way and Accessories;;;;;R600.00;R759.49;sum;ACCABLE;
P1000-5 steel (176X127) trunking 3M;;0;650.00;R0.00;R0.00;R0.00;cab;ACCABLE;
P8000 2.5M + PVC cover trunking (5M);;0;355.00;R0.00;R0.00;R0.00;cab;ACCABLE;
solid trunking 65X65mm Grey 2M (4M);;4;150.00;R600.00;R600.00;R759.49;cab;ACCABLE;
PV Protection BOX ;;;;;R1 460.00;R1 848.10;sum;;
PSM3 -40-1000V PV  DC;;1;1200.00;R1 200.00;R1 200.00;R1 518.99;pvprot;PVPROT;
16A fuse isolator;;2;130.00;R260.00;R260.00;R329.11;pvprot;PVPROT;
DC Box (400X300X200) +terminals +glands ;;0;900.00;R0.00;R0.00;R0.00;pvprot;PVPROT;
Battery type- Gel 4 8kWh;;;;R9 400.00;R9 400.00;R11 898.73;sum;;
lithium phosphate  US3000 ;;0;17000.00;R0.00;R0.00;R0.00;batt;battery;
50Ah Lithium phosphate  2.4kWh (48V);;0;13000.00;R0.00;R0.00;R0.00;batt;battery;
70Ah  Growatt 3.3L-C1  Li-Ion - 3.3kWh (48V);;0;15000.00;R0.00;R0.00;R0.00;batt;battery;
100Ah Lithium phospate- 4.8kWh lithium (48V);;0;26000.00;R0.00;R0.00;R0.00;batt;battery;
105Ah Lithium phospate- 5kWh lithium (48V);;0;22500.00;R0.00;R0.00;R0.00;batt;battery;
105Ah Li-Ion Freedomwon -5kWh 48V  ;;0;1100.00;R0.00;R0.00;R0.00;batt;battery;
100Ah lithium  phosphase  UP2500 (24Vdc);;0;23000.00;R0.00;R0.00;R0.00;batt;battery;
;;;;;;;batt;battery;
100Ah Gel AGM sun pays;;0;2590.00;R0.00;R0.00;R0.00;batt;battery;
200Ah Navara Gel AGM;;2;3600.00;R7 200.00;R7 200.00;R9 113.92;batt;battery;
200Ah Gel AGM  ;;0;4300.00;R0.00;R0.00;R0.00;batt;battery;
240AH Gel AGM Omnipower (sinetech);;0;6900.00;R0.00;R0.00;R0.00;batt;battery;
battery  cabinet (house 2 X US2000) Lithium;;0;3000.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 2kW (100A ) 24V system;;0;400.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 3kW (160A ) 24V system;;0;600.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 5kW (125A ) 48V system;;0;601.00;R0.00;R0.00;R0.00;batprot;battery;
battery stand  (battery housing 2 100Ah AGM );;2;1100.00;R2 200.00;R2 200.00;R2 784.81;batstand;battery;
Battery stand  (battery housing) brackets;;0;828.00;R0.00;R0.00;R0.00;batstand;battery;
Travelling KM ;;10;6.00;;;R60.00;trvl;TRVLAB;
Labour Retrofit  kit  per  Geyser;;0;4000.00;;;R0.00;;TRVLAB;
Installation labour (Engineering, Electrical Interface +commissioning);;8;450.00;R3 600;R2 000.00;R3 600.00;lab;TRVLAB;
Assessment;;1;650.00;R650;;R650.00;lab;TRVLAB;
Out of town;;0;1200.00;R0;;R0.00;tvrl;TRVLAB;
305W;Canadian PV;;2100.00;;;;panel;PV;
365W;Canadian PV;;2500.00;;;;panel;PV;
410W;Canadian PV;;2650.00;;;;panel;PV;
455W;Canadian PV;;3000.00;;;;panel;PV;
490W;Canadian PV;;3250.00;;;;panel;PV;
545W;PV Solar  Panel Mono;;3500.00;;;;panel;PV;
595W;PV Solar Panel  Mono;;3700.00;;;;panel;PV;
Inverter 3kW 24VDC;3000;;5750.00;1500W PV Max;;;inv;PV;
Inverter 3kW 48VDC;3000;;6999.00;;;;inv;PV;
Inverter 5kW LV 48VDC;5000;;11000.00;;;;inv;PV;
Inverter 5kW HighVoltage 48VDC;5000;;12000.00;;;;inv;PV;
Inverter 5kW Hybrid 48VDC;5000;;21000.00;;;;inv;PV;
Inverter 8kW Hybrid 48VDC;8000;;31000.00;;;;inv;PV;
Inverter 12kW Hybrid 48VDC;12000;;45000.00;;;;inv;PV;
Panel Mount IBR-ROOF 2;;;793.00;;;;roof;PV;
;;;;;;;;PV;
Panel Mount IBR-ROOF 3;;;1190.00;;;;roof;PV;
Panel Mount IBR-ROOF 4;;;1587.20;;;;roof;PV;
